id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
0,0.0008959019,0.0008959019,0.0012082952,0.0006937723,0.0005347788,0.9940887257,0.0005945355,0.0005587313,0.000766815
1,0.0184476709,0.0184476709,0.769795047,0.0570570978,0.0327400449,0.004062462,0.024013679,0.0280815364,0.0345633346
2,0.0225357885,0.0225357885,0.6401776451,0.1503472544,0.0422117776,0.005030235,0.0328588676,0.0345429065,0.0286147198
3,0.2671391789,0.2671391789,0.0425308039,0.0291133744,0.0086308844,0.0013830908,0.0171513149,0.16508371,0.4590620027
4,0.0021966851,0.0021966851,0.0024753735,0.0015105063,0.0013313978,0.000222183,0.9868366894,0.0016281975,0.0022894171
5,0.0007996841,0.0007996841,0.0010002378,0.0008066822,0.0005389979,0.0001099382,0.9942701374,0.0008351338,0.0009744612
6,0.000931419,0.000931419,0.0014777073,0.000838293,0.0015752111,0.9881560912,0.0046532429,0.0008279226,0.0009377908
7,0.0052709338,0.0052709338,0.7908069627,0.1286233726,0.0324649332,0.0033189825,0.0107235536,0.0099531534,0.0094987684
8,0.004314897,0.004314897,0.0093946686,0.0069881065,0.0040001125,0.0005458147,0.9600047317,0.0045639366,0.0054780261
9,0.0241748367,0.0241748367,0.0093002867,0.0076332697,0.0037077733,0.0013626099,0.0124530864,0.0265669308,0.9050320668
10,0.0129743572,0.0129743572,0.7873135808,0.0734393744,0.0701925271,0.0019190114,0.0126568346,0.013630749,0.0124110677
11,0.0377204049,0.0377204049,0.0327246033,0.0214630003,0.0147263163,0.0032948572,0.0429785368,0.0336184079,0.6742455535
12,0.1036221221,0.1036221221,0.0150085353,0.011155196,0.0062459331,0.0018284798,0.0929276629,0.0126905242,0.0362641051
13,0.0232027307,0.0232027307,0.0049520152,0.0041496661,0.0023651203,0.0004881772,0.0170213468,0.0092785244,0.9323405166
14,0.0043457964,0.0043457964,0.1600468829,0.7671414409,0.0402019262,0.0008878482,0.0055578739,0.0067836853,0.0076571639
15,0.0087041989,0.0087041989,0.7674451037,0.1609685632,0.0153939401,0.0016091575,0.0102296547,0.0133018053,0.0117819183
